sku,period,model,actual,pred,abs_err,signed_err
ALS-020ARN-6BHA-8BHA,2026-02,M5_GlobalLGBM_v2,87.0,193.65624033739678,106.65624033739678,106.65624033739678
SFC-050SA2-16B-11BC,2026-02,M5_GlobalLGBM_v2,320.0,289.9342286659599,30.065771334040107,-30.065771334040107
SFC-050SA2-T211,2026-02,M5_GlobalLGBM_v2,260.0,301.87547443707786,41.875474437077855,41.875474437077855
SFC-050SA2-18B-19B,2026-02,M5_GlobalLGBM_v2,160.0,298.19529670802154,138.19529670802154,138.19529670802154
SFC-035DA2-12B-14B,2026-02,M5_GlobalLGBM_v2,4.0,146.95934111997036,142.95934111997036,142.95934111997036
SFC-030DA2-10B-14B,2026-02,M5_GlobalLGBM_v2,129.0,273.1721902832198,144.17219028321978,144.17219028321978
BXW-04-10-22,2026-02,M5_GlobalLGBM_v2,0.0,362.55190519464765,362.55190519464765,362.55190519464765
ALS-040ARN-T014,2026-02,M5_GlobalLGBM_v2,440.0,260.9514995301922,179.04850046980778,-179.04850046980778
BXR-035-10LE-062,2026-02,M5_GlobalLGBM_v2,100.0,262.44827827283905,162.44827827283905,162.44827827283905
SPACER BOLT CF-A-090-S1-1360-G,2026-02,M5_GlobalLGBM_v2,0.0,111.29684342890087,111.29684342890087,111.29684342890087
SFC-060DA2-25B-35B,2026-02,M5_GlobalLGBM_v2,1.0,248.99495331679014,247.99495331679014,247.99495331679014
SFC-050SA2-12B-16B,2026-02,M5_GlobalLGBM_v2,260.0,122.79628621071328,137.20371378928672,-137.20371378928672
SFC-040DA2-17B-19B,2026-02,M5_GlobalLGBM_v2,158.0,220.6241932490099,62.62419324900989,62.62419324900989
ALS-040ARN-15BHA-16BHA,2026-02,M5_GlobalLGBM_v2,88.0,293.40249205846754,205.40249205846754,205.40249205846754
SFC-060DA2-24B-25B,2026-02,M5_GlobalLGBM_v2,4.0,266.3142664266464,262.3142664266464,262.3142664266464
SFC-040DA2-12B-19B,2026-02,M5_GlobalLGBM_v2,20.0,281.19620419650624,261.19620419650624,261.19620419650624
ALS-055ARN-18BHA-22BHA,2026-02,M5_GlobalLGBM_v2,653.0,275.8025048621847,377.1974951378153,-377.1974951378153
